PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20
Par,Maarjamäe,Maarjamäe (summer 2016),2020-02-09 12:18,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
cardo,Maarjamäe,Maarjamäe (summer 2016),2020-02-09 12:18,32,2,3,3,3,3,3,3,3,2,4,5,,,,,,,,,,
Silver,Maarjamäe,Maarjamäe (summer 2016),2020-02-09 12:18,31,1,2,3,2,3,3,4,4,2,5,3,,,,,,,,,,
Par,Maarjamäe,Maarjamäe (summer 2016),2020-02-09 11:32,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
cardo,Maarjamäe,Maarjamäe (summer 2016),2020-02-09 11:32,36,6,2,5,3,3,4,5,3,3,5,3,,,,,,,,,,
Silver,Maarjamäe,Maarjamäe (summer 2016),2020-02-09 11:32,30,0,3,2,2,3,4,4,2,3,3,4,,,,,,,,,,
Par,Maarjamäe,Main,2020-02-06 18:32,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
Oskar,Maarjamäe,Main,2020-02-06 18:32,37,7,4,3,3,5,3,5,3,5,3,3,,,,,,,,,,
cardo,Maarjamäe,Main,2020-02-06 18:32,37,7,4,3,3,4,5,6,3,3,3,3,,,,,,,,,,
Par,Maarjamäe,Maarjamäe (summer 2016),2020-01-19 18:53,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
Oskar,Maarjamäe,Maarjamäe (summer 2016),2020-01-19 18:53,28,-2,3,3,2,3,4,3,2,3,3,2,,,,,,,,,,
cardo,Maarjamäe,Maarjamäe (summer 2016),2020-01-19 18:53,32,2,3,4,3,3,3,3,4,3,3,3,,,,,,,,,,
Par,Maarjamäe,Summer 2016 2x10,2020-01-19 17:24,60,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Oskar,Maarjamäe,Summer 2016 2x10,2020-01-19 17:24,63,3,3,3,3,4,5,4,3,2,3,3,3,2,3,4,4,3,2,3,3,3
cardo,Maarjamäe,Summer 2016 2x10,2020-01-19 17:24,64,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,4,4,3,2,3,4
Par,Männiku Discgolf,Main,2020-01-18 15:49,61,,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,4,
Oskar,Männiku Discgolf,Main,2020-01-18 15:49,68,7,3,3,4,5,3,4,3,4,3,3,4,3,3,3,3,4,6,3,4,
cardo,Männiku Discgolf,Main,2020-01-18 15:49,87,26,2,4,5,8,5,6,3,4,3,8,3,5,5,5,3,4,4,4,6,
Par,Maarjamäe,Maarjamäe (summer 2016),2020-01-05 15:17,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
Oskar,Maarjamäe,Maarjamäe (summer 2016),2020-01-05 15:17,31,1,3,3,3,4,4,2,2,3,4,3,,,,,,,,,,
cardo,Maarjamäe,Maarjamäe (summer 2016),2020-01-05 15:17,35,5,3,4,3,3,4,6,2,3,4,3,,,,,,,,,,
